name,price,url,image_url,type,size,vivino_score
Alsace Famille Cattin Pinot Duo Gris & Blanc 75cl,7.99,https://www.carrefour.be/fr/alsace-famille-cattin-pinot-duo-gris-and-blanc-75cl/06233010.html,https://cdn.carrefour.eu/420_06233010.webp,White,75cl,3.8
Vin de Pays d'oc Domaine Lalande Rosé 75cl,4.99,https://www.carrefour.be/fr/vin-de-pays-doc-domaine-lalande-rose-75cl/05649689.html,https://cdn.carrefour.eu/420_05649689.webp,Rosé,75cl,3.6
Vin de Pays d'oc Domaine Lalande Sauvignon Blanc 75cl,4.99,https://www.carrefour.be/fr/vin-de-pays-doc-domaine-lalande-sauvignon-blanc-75cl/05649688.html,https://cdn.carrefour.eu/420_05649688_M1_20231010.webp,White,75cl,
Lambrusco Signoria Dei Duchi Rosé 75cl,2.99,https://www.carrefour.be/fr/lambrusco-signoria-dei-duchi-rose-75cl/06995513.html,https://cdn.carrefour.eu/420_06995513_M1_20231226.webp,Rosé,75cl,3.8
Bordeaux Les Cinq Pattes rosé,6.99,https://www.carrefour.be/fr/bordeaux-les-cinq-pattes-rose/06965301.html,https://cdn.carrefour.eu/420_06965301_M1_20230417.webp,Rosé,Other,
La Cave d'Augustin Florent Côtes du Rhône Rouge 75cl,4.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-cotes-du-rhone-rouge-75cl/01651657.html,https://cdn.carrefour.eu/420_01651657_T1.webp,Red,75cl,3.4
Côtes du Rhône Vacqueyras Terroir Daronton Rouge 75cl,11.49,https://www.carrefour.be/fr/cotes-du-rhone-vacqueyras-terroir-daronton-rouge-75cl/06284454.html,https://cdn.carrefour.eu/420_06284454.webp,Red,75cl,3.7
Pouilles Castelli di Severino Trebbiano Falanghina Blanc 75cl,5.99,https://www.carrefour.be/fr/pouilles-castelli-di-severino-trebbiano-falanghina-blanc-75cl/05869834.html,https://cdn.carrefour.eu/420_05869834_T1.webp,White,75cl,3.4
J.P. Chenet Colombard-Sauvignon Blanc 25cl,2.49,https://www.carrefour.be/fr/j.p.-chenet-colombard-sauvignon-blanc-25cl/01507137.html,https://cdn.carrefour.eu/420_01507137_T1.webp,White,25cl,3.5
Alsace Gewurztraminer Jean Murbach Blanc 75cl,8.99,https://www.carrefour.be/fr/alsace-gewurztraminer-jean-murbach-blanc-75cl/06210077.html,https://cdn.carrefour.eu/420_06210077.webp,White,75cl,3.8
Portico Rosé Wine 750 ml,3.99,https://www.carrefour.be/fr/portico-rose-wine-750-ml/01215688.html,https://cdn.carrefour.eu/420_01215688_T1.webp,Rosé,Other,3.0
États -Unis Californie Gallo Cabernet Sauvignon Rouge 75cl,7.99,https://www.carrefour.be/fr/etats--unis-californie-gallo-cabernet-sauvignon-rouge-75cl/01158871.html,https://cdn.carrefour.eu/420_01158871_T1.webp,Red,75cl,
Languedoc La Petite Française Blanc,7.99,https://www.carrefour.be/fr/languedoc-la-petite-francaise-blanc/06674099.html,https://cdn.carrefour.eu/420_06674099_M1_20210802.webp,White,Other,3.7
Quay Landing Colombard Chardonnay - Wit - 3 L,15.99,https://www.carrefour.be/fr/quay-landing-colombard-chardonnay---wit---3-l/04336671.html,https://cdn.carrefour.eu/420_04336671_T1.webp,White,Box,3.2
Roche Mazet Merlot Rouge 75cl,5.99,https://www.carrefour.be/fr/roche-mazet-merlot-rouge-75cl/04807656.html,https://cdn.carrefour.eu/420_04807656_M1_20230320.webp,Red,75cl,3.5
La Cave d'Augustin Florent Bordeaux Rosé 75 cl,4.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-bordeaux-rose-75-cl/05774921.html,https://cdn.carrefour.eu/420_05774921_T1.webp,Rosé,75cl,3.3
Solicello Bianco terre siciliane 3000 ml,10.99,https://www.carrefour.be/fr/solicello-bianco-terre-siciliane-3000-ml/04382531.html,https://cdn.carrefour.eu/420_04382531_T1.webp,White,Other,3.4
Spanje Bag in Box Mucho Mas 3L,15.99,https://www.carrefour.be/fr/spanje-bag-in-box-mucho-mas-3l/06491276.html,https://cdn.carrefour.eu/420_06491276_M1_20240228.webp,Red,Box,3.8
Alsace Murbach Pinot Blanc Blanc 75cl,7.49,https://www.carrefour.be/fr/alsace-murbach-pinot-blanc-blanc-75cl/06220405.html,https://cdn.carrefour.eu/420_06220405.webp,White,75cl,3.5
